work_id,shift_amount,content_npy,style_npy,target_pt
109,0,content_109_shift0.npy,style_109_shift0.npy,target_109_shift0.pt
109,1,content_109_shift1.npy,style_109_shift1.npy,target_109_shift1.pt
109,-1,content_109_shift-1.npy,style_109_shift-1.npy,target_109_shift-1.pt
128,0,content_128_shift0.npy,style_128_shift0.npy,target_128_shift0.pt
128,1,content_128_shift1.npy,style_128_shift1.npy,target_128_shift1.pt
128,-1,content_128_shift-1.npy,style_128_shift-1.npy,target_128_shift-1.pt
148,0,content_148_shift0.npy,style_148_shift0.npy,target_148_shift0.pt
148,1,content_148_shift1.npy,style_148_shift1.npy,target_148_shift1.pt
148,-1,content_148_shift-1.npy,style_148_shift-1.npy,target_148_shift-1.pt
167,0,content_167_shift0.npy,style_167_shift0.npy,target_167_shift0.pt
167,1,content_167_shift1.npy,style_167_shift1.npy,target_167_shift1.pt
167,-1,content_167_shift-1.npy,style_167_shift-1.npy,target_167_shift-1.pt
177,0,content_177_shift0.npy,style_177_shift0.npy,target_177_shift0.pt
177,1,content_177_shift1.npy,style_177_shift1.npy,target_177_shift1.pt
177,-1,content_177_shift-1.npy,style_177_shift-1.npy,target_177_shift-1.pt
190,0,content_190_shift0.npy,style_190_shift0.npy,target_190_shift0.pt
190,1,content_190_shift1.npy,style_190_shift1.npy,target_190_shift1.pt
190,-1,content_190_shift-1.npy,style_190_shift-1.npy,target_190_shift-1.pt
209,0,content_209_shift0.npy,style_209_shift0.npy,target_209_shift0.pt
209,1,content_209_shift1.npy,style_209_shift1.npy,target_209_shift1.pt
209,-1,content_209_shift-1.npy,style_209_shift-1.npy,target_209_shift-1.pt
211,0,content_211_shift0.npy,style_211_shift0.npy,target_211_shift0.pt
211,1,content_211_shift1.npy,style_211_shift1.npy,target_211_shift1.pt
211,-1,content_211_shift-1.npy,style_211_shift-1.npy,target_211_shift-1.pt
215,0,content_215_shift0.npy,style_215_shift0.npy,target_215_shift0.pt
215,1,content_215_shift1.npy,style_215_shift1.npy,target_215_shift1.pt
215,-1,content_215_shift-1.npy,style_215_shift-1.npy,target_215_shift-1.pt
224,0,content_224_shift0.npy,style_224_shift0.npy,target_224_shift0.pt
224,1,content_224_shift1.npy,style_224_shift1.npy,target_224_shift1.pt
224,-1,content_224_shift-1.npy,style_224_shift-1.npy,target_224_shift-1.pt
233,0,content_233_shift0.npy,style_233_shift0.npy,target_233_shift0.pt
233,1,content_233_shift1.npy,style_233_shift1.npy,target_233_shift1.pt
233,-1,content_233_shift-1.npy,style_233_shift-1.npy,target_233_shift-1.pt
249,0,content_249_shift0.npy,style_249_shift0.npy,target_249_shift0.pt
249,1,content_249_shift1.npy,style_249_shift1.npy,target_249_shift1.pt
249,-1,content_249_shift-1.npy,style_249_shift-1.npy,target_249_shift-1.pt
272,0,content_272_shift0.npy,style_272_shift0.npy,target_272_shift0.pt
272,1,content_272_shift1.npy,style_272_shift1.npy,target_272_shift1.pt
272,-1,content_272_shift-1.npy,style_272_shift-1.npy,target_272_shift-1.pt
296,0,content_296_shift0.npy,style_296_shift0.npy,target_296_shift0.pt
296,1,content_296_shift1.npy,style_296_shift1.npy,target_296_shift1.pt
296,-1,content_296_shift-1.npy,style_296_shift-1.npy,target_296_shift-1.pt
357,0,content_357_shift0.npy,style_357_shift0.npy,target_357_shift0.pt
357,1,content_357_shift1.npy,style_357_shift1.npy,target_357_shift1.pt
357,-1,content_357_shift-1.npy,style_357_shift-1.npy,target_357_shift-1.pt
403,0,content_403_shift0.npy,style_403_shift0.npy,target_403_shift0.pt
403,1,content_403_shift1.npy,style_403_shift1.npy,target_403_shift1.pt
403,-1,content_403_shift-1.npy,style_403_shift-1.npy,target_403_shift-1.pt
418,0,content_418_shift0.npy,style_418_shift0.npy,target_418_shift0.pt
418,1,content_418_shift1.npy,style_418_shift1.npy,target_418_shift1.pt
418,-1,content_418_shift-1.npy,style_418_shift-1.npy,target_418_shift-1.pt
456,0,content_456_shift0.npy,style_456_shift0.npy,target_456_shift0.pt
456,1,content_456_shift1.npy,style_456_shift1.npy,target_456_shift1.pt
456,-1,content_456_shift-1.npy,style_456_shift-1.npy,target_456_shift-1.pt
498,0,content_498_shift0.npy,style_498_shift0.npy,target_498_shift0.pt
498,1,content_498_shift1.npy,style_498_shift1.npy,target_498_shift1.pt
498,-1,content_498_shift-1.npy,style_498_shift-1.npy,target_498_shift-1.pt
571,0,content_571_shift0.npy,style_571_shift0.npy,target_571_shift0.pt
571,1,content_571_shift1.npy,style_571_shift1.npy,target_571_shift1.pt
571,-1,content_571_shift-1.npy,style_571_shift-1.npy,target_571_shift-1.pt
580,0,content_580_shift0.npy,style_580_shift0.npy,target_580_shift0.pt
580,1,content_580_shift1.npy,style_580_shift1.npy,target_580_shift1.pt
580,-1,content_580_shift-1.npy,style_580_shift-1.npy,target_580_shift-1.pt
623,0,content_623_shift0.npy,style_623_shift0.npy,target_623_shift0.pt
